,root_id,const,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,sense_syn_count,upstream_sensoryN,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,side,nerve
190,720575940652562081,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,97.0,9.0,intrinsic,central,ALLN,,v2LN39a,,ALv2,left,
191,720575940657858433,1,non activated,hygro,non activated,non activated,activated,activated,activated,activated,activated,19.0,2.0,intrinsic,central,ALLN,,,v2LN4,ALv2,left,
192,720575940657858433,1,non activated,thermo,non activated,activated,activated,activated,activated,activated,activated,35.0,3.0,intrinsic,central,ALLN,,,v2LN4,ALv2,left,
193,720575940659429761,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,85.0,9.0,intrinsic,central,ALLN,,,v2LN33,ALv2,left,
194,720575940659429761,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,35.0,3.0,intrinsic,central,ALLN,,,v2LN33,ALv2,left,
195,720575940659611777,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,399.0,19.0,intrinsic,central,ALPN,multiglomerular,,VP1d+VP4_l2PN2,ALl1_ventral,left,
196,720575940660217473,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,133.0,11.0,intrinsic,central,ALLN,,lLN2X11,,ALl1_dorsal,left,
197,720575940660217473,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,81.0,7.0,intrinsic,central,ALLN,,lLN2X11,,ALl1_dorsal,left,
198,720575940604911793,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,11.0,2.0,intrinsic,central,ALPN,multiglomerular,CB1321,"VP1m+VP2_lvPN1,VP1m+VP2_lvPN2",ALlv1,left,
199,720575940607539907,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,15.0,2.0,intrinsic,central,ALPN,multiglomerular,,M_lvPNm48,ALlv1,left,
200,720575940609739669,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,12.0,2.0,intrinsic,central,ALPN,multiglomerular,M_l2PN10t19b,M_l2PN10t19,ALl1_ventral,right,
201,720575940609959726,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,133.0,3.0,intrinsic,central,ALLN,,,l2LN22,ALl1_dorsal,left,
202,720575940610157688,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,7.0,1.0,intrinsic,central,ALLN,,,lLN10,ALl1_dorsal,left,
203,720575940610511043,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,92.0,3.0,intrinsic,central,ALPN,multiglomerular,,MZ_lvPN,ALlv1,left,
204,720575940610669614,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,13.0,2.0,intrinsic,central,ALLN,,,lLN2P_b,ALl1_dorsal,left,
205,720575940611671506,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,10.0,2.0,intrinsic,central,ALLN,,lLN2X05,,ALl1_dorsal,left,
