,root_id,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,side,nerve
965,720575940622526355,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,right,AN
971,720575940628277147,afferent,sensory,olfactory,,,ORN_DP1l,,right,AN
976,720575940639451043,afferent,sensory,olfactory,,,ORN_V,,right,AN
979,720575940627318696,afferent,sensory,olfactory,,,ORN_DA2,,left,AN
980,720575940621182889,afferent,sensory,olfactory,,,ORN_DC2,,left,AN
983,720575940619429803,afferent,sensory,olfactory,,ORN_VC5,ORN_VC3m,,left,AN
988,720575940611475370,afferent,sensory,olfactory,,,ORN_VM1,,left,AN
999,720575940623771580,afferent,sensory,olfactory,,,ORN_V,,left,AN
1007,720575940610287566,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,right,AN
1013,720575940614522847,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
1024,720575940628621316,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
1029,720575940628285450,afferent,sensory,olfactory,,,ORN_DP1l,,right,AN
1033,720575940630284306,afferent,sensory,olfactory,,,ORN_D,,right,AN
1037,720575940616546333,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
1038,720575940620421153,afferent,sensory,olfactory,,,ORN_DL2v,,left,AN
1046,720575940626630699,afferent,sensory,olfactory,,ORN_VM6l,ORN_VC5,,left,AN
1050,720575940616398898,afferent,sensory,olfactory,,,ORN_DM2,,left,AN
1059,720575940629424195,afferent,sensory,olfactory,,,ORN_V,,left,AN
1067,720575940631234643,afferent,sensory,olfactory,,,ORN_VC1,,left,MxLbN
1077,720575940635838565,afferent,sensory,olfactory,,,ORN_DL1,,left,AN
1087,720575940621166719,afferent,sensory,olfactory,,,ORN_VL2p,,right,AN
1093,720575940626614405,afferent,sensory,olfactory,,,ORN_DP1m,,right,AN
1099,720575940626811023,afferent,sensory,olfactory,,,ORN_DP1m,,right,AN
1104,720575940611762329,afferent,sensory,olfactory,,,ORN_DL2d,,right,AN
1106,720575940616857757,afferent,sensory,olfactory,,ORN_VC5,ORN_VC3m,,right,AN
1109,720575940620224677,afferent,sensory,olfactory,,,ORN_D,,right,AN
1118,720575940624689336,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
1123,720575940622477508,afferent,sensory,olfactory,,,ORN_DP1l,,left,AN
1135,720575940616653030,afferent,sensory,olfactory,,ORN_VM6v,ORN_VC5,,left,AN
1136,720575940623943914,afferent,sensory,olfactory,,ORN_VC5,ORN_VC3m,,right,AN
1147,720575940608313611,afferent,sensory,olfactory,,,ORN_DL1,,left,AN
1153,720575940624853276,afferent,sensory,olfactory,,,ORN_DL5,,right,AN
1158,720575940643842340,afferent,sensory,olfactory,,,ORN_DC1,,left,AN
1161,720575940622403881,afferent,sensory,olfactory,,,ORN_DC1,,right,AN
1163,720575940616923433,afferent,sensory,olfactory,,ORN_VM6m,ORN_VC5,,left,AN
1167,720575940631931183,afferent,sensory,olfactory,,,ORN_D,,right,AN
1168,720575940624369968,afferent,sensory,olfactory,,,ORN_VC2,,left,MxLbN
1185,720575940618946901,afferent,sensory,olfactory,,,ORN_DA2,,left,AN
1186,720575940615809366,afferent,sensory,olfactory,,,ORN_VC1,,left,MxLbN
1196,720575940639287667,afferent,sensory,olfactory,,,ORN_DC4,,left,AN
1198,720575940636002679,afferent,sensory,olfactory,,,ORN_VA7m,,right,AN
1200,720575940625795453,afferent,sensory,olfactory,,,ORN_V,,right,AN
1201,720575940629350782,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
1202,720575940628564350,afferent,sensory,olfactory,,ORN_VM6v,ORN_VC5,,left,AN
1220,720575940614236575,afferent,sensory,olfactory,,,ORN_DC2,,right,AN
1222,720575940654500257,afferent,sensory,olfactory,,,ORN_D,,right,AN
1229,720575940627163560,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
1240,720575940638607805,afferent,sensory,olfactory,,,ORN_DC3,,right,AN
1252,720575940621740493,afferent,sensory,olfactory,,,ORN_DP1l,,left,AN
1255,720575940613466577,afferent,sensory,olfactory,,,ORN_DM4,,right,AN
1271,720575940620511732,afferent,sensory,olfactory,,,ORN_V,,left,AN
1279,720575940630514191,afferent,sensory,olfactory,,ORN_VC5,ORN_VC3m,,right,AN
1285,720575940626737685,afferent,sensory,olfactory,,,ORN_DM4,,left,AN
1293,720575940620831265,afferent,sensory,olfactory,,,ORN_VA2,,right,AN
1303,720575940628597291,afferent,sensory,olfactory,,,ORN_DL5,,right,AN
1305,720575940631595562,afferent,sensory,olfactory,,,ORN_VC4,,right,AN
1313,720575940630424121,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,right,AN
1321,720575940622084681,afferent,sensory,olfactory,,ORN_VM6v,ORN_VC5,,left,AN
1322,720575940630547019,afferent,sensory,olfactory,,,ORN_VA5,,left,AN
1324,720575940626868818,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
1328,720575940624853600,afferent,sensory,olfactory,,,ORN_DP1l,,right,AN
1329,720575940610108002,afferent,sensory,olfactory,,,ORN_DM4,,left,AN
1331,720575940627253865,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
1333,720575940636052080,afferent,sensory,olfactory,,,ORN_VA2,,left,AN
1337,720575940620675711,afferent,sensory,olfactory,,,ORN_VM7d,,left,MxLbN
1339,720575940626147971,afferent,sensory,olfactory,,,ORN_DM2,,right,AN
1347,720575940633422490,afferent,sensory,olfactory,,,ORN_VC1,,left,MxLbN
1360,720575940619791019,afferent,sensory,olfactory,,,ORN_D,,right,AN
1368,720575940622281399,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
1375,720575940630285007,afferent,sensory,olfactory,,,ORN_VA3,,left,AN
1377,720575940631964371,afferent,sensory,olfactory,,,ORN_DL5,,right,AN
1380,720575940633938657,afferent,sensory,olfactory,,ORN_VM6v,ORN_VC5,,right,AN
1385,720575940617874150,afferent,sensory,olfactory,,,ORN_DC3,,left,AN
1386,720575940623854311,afferent,sensory,olfactory,,,ORN_V,,left,AN
